"STATISTIC CODE","STATISTIC","TLIST(A1)","Year","C02199V02655","Sex","C02677V03567","Countries","UNIT","VALUE"
"MIP12","Life expectancy at birth (Years)","2018","2018","2","Female","EE","Estonia","Number","82.7"
"MIP12","Life expectancy at birth (Years)","2018","2018","2","Female","ZZEUBQ","EU27","Number","83.7"
"MIP12","Life expectancy at birth (Years)","2018","2018","2","Female","FI","Finland","Number","84.5"
"MIP12","Life expectancy at birth (Years)","2018","2018","2","Female","FR","France","Number","85.9"
"MIP12","Life expectancy at birth (Years)","2018","2018","2","Female","DE","Germany","Number","83.3"
"MIP12","Life expectancy at birth (Years)","2018","2018","2","Female","GR","Greece","Number","84.4"
"MIP12","Life expectancy at birth (Years)","2018","2018","2","Female","HU","Hungary","Number","79.6"
"MIP12","Life expectancy at birth (Years)","2018","2018","2","Female","IS","Iceland","Number","84.5"
"MIP12","Life expectancy at birth (Years)","2018","2018","2","Female","IE","Ireland","Number","84.1"
"MIP12","Life expectancy at birth (Years)","2018","2018","2","Female","IT","Italy","Number","85.6"
"MIP12","Life expectancy at birth (Years)","2018","2018","2","Female","LV","Latvia","Number","79.7"
"MIP12","Life expectancy at birth (Years)","2018","2018","2","Female","LI","Liechtenstein","Number","85.5"
"MIP12","Life expectancy at birth (Years)","2018","2018","2","Female","LT","Lithuania","Number","80.7"
"MIP12","Life expectancy at birth (Years)","2018","2018","2","Female","LU","Luxembourg","Number","84.6"
"MIP12","Life expectancy at birth (Years)","2018","2018","2","Female","MK","Macedonia","Number","78.8"
"MIP12","Life expectancy at birth (Years)","2018","2018","2","Female","MT","Malta","Number","84.6"
"MIP12","Life expectancy at birth (Years)","2018","2018","2","Female","ME","Montenegro","Number","79.3"
"MIP12","Life expectancy at birth (Years)","2018","2018","2","Female","NL","Netherlands","Number","83.4"
"MIP12","Life expectancy at birth (Years)","2018","2018","2","Female","NO","Norway","Number","84.5"
"MIP12","Life expectancy at birth (Years)","2018","2018","2","Female","PL","Poland","Number","81.7"
"MIP12","Life expectancy at birth (Years)","2018","2018","2","Female","PT","Portugal","Number","84.5"
"MIP12","Life expectancy at birth (Years)","2018","2018","2","Female","RO","Romania","Number","79.2"
"MIP12","Life expectancy at birth (Years)","2018","2018","2","Female","RS","Serbia","Number","78.4"
"MIP12","Life expectancy at birth (Years)","2018","2018","2","Female","SK","Slovakia","Number","80.8"
"MIP12","Life expectancy at birth (Years)","2018","2018","2","Female","SI","Slovenia","Number","84.4"
"MIP12","Life expectancy at birth (Years)","2018","2018","2","Female","ES","Spain","Number","86.3"
"MIP12","Life expectancy at birth (Years)","2018","2018","2","Female","SE","Sweden","Number","84.3"
"MIP12","Life expectancy at birth (Years)","2018","2018","2","Female","CH","Switzerland","Number","85.7"
"MIP12","Life expectancy at birth (Years)","2018","2018","2","Female","TR","Turkey","Number","81.6"
"MIP12","Life expectancy at birth (Years)","2018","2018","2","Female","GB","United Kingdom","Number","83.1"
"MIP12","Life expectancy at birth (Years)","2019","2019","-","Total Persons","AL","Albania","Number","79.1"
